1239,1
976,2
446660,3
239935,4
239759,5
214856,6
626932,7
328813,8
328814,9
244127,10
200643,11
815,12
171549,14
816,15
47678,17
357276,18
338188,20
817,21
329854,22
204516,23
28116,24
310297,25
818,26
820,27
397864,28
487174,29
31953,30
1678,31
1680,32
216816,35
35832,36
35833,37
572511,38
80840,39
186801,40
33042,41
84107,45
872,46
876,47
194924,48
189330,49
39486,50
88431,51
91347,52
39488,54
216851,57
853,58
1224,59
28050,61
186803,62
1357,64
1358,65
283168,66
28118,67
846,69
847,70
375288,71
823,72
387661,73
46503,74
577310,75
487175,76
171551,77
201174,78
301301,79
166486,80
360807,81
841,82
541000,83
263,84
40518,85
46228,86
292632,89
1301,90
74201,91
28890,92
